booking_id,booking_date,persona,user_id,source,destination_city,craft_interest,participants,price_per_person,status,gross_booking_value,artisan_payout,rating,repeat_customer,assigned_team
CRB5000,2026-07-01,Ananya Reddy,u1001,Direct,Jaipur,Warli Painting,1,2500,Completed,2500,2000.0,4.5,No,Revenue / Enterprise Team
CRB5001,2026-07-01,Mark Thompson,u1004,Referral,Varanasi,Warli Painting,2,2200,Completed,4400,3520.0,4.6,No,Revenue / Enterprise Team
CRB5002,2026-07-01,Priya Sharma,u1008,Instagram,Bangalore,Pottery,4,3000,Completed,12000,9600.0,4.2,No,Traveler Success
CRB5003,2026-07-01,Priya Sharma,u1013,Referral,Khurja,Pottery,2,1800,Completed,3600,2880.0,4.3,No,Customer Success
CRB5004,2026-07-01,Rahul Mehta,u1017,Referral,Bangalore,Pottery,3,1800,Completed,5400,4320.0,4.9,Yes,Revenue / Enterprise Team
CRB5005,2026-07-01,Priya Sharma,u1024,Referral,Udaipur,Warli Painting,1,2500,Completed,2500,2000.0,3.8,No,Traveler Success
CRB5006,2026-07-01,Rahul Mehta,u1025,Instagram,Varanasi,Block Printing,2,3000,Cancelled,6000,0,,No,Traveler Success
CRB5007,2026-07-01,Rahul Mehta,u1036,Direct,Udaipur,Pottery,1,3000,Completed,3000,2400.0,4.4,No,Traveler Success
CRB5008,2026-07-01,Ananya Reddy,u1050,Instagram,Jaipur,Blue Pottery,2,3000,No-show,6000,0,,No,Revenue / Enterprise Team
CRB5009,2026-07-01,Ananya Reddy,u1056,Google Search,Khurja,Pottery,6,3500,Cancelled,21000,0,,No,Traveler Success
CRB5010,2026-07-01,Rahul Mehta,u1059,Google Search,Jaipur,Pottery,4,2000,Completed,8000,6400.0,5.0,No,Traveler Success
CRB5011,2026-07-01,Rahul Mehta,u1075,Google Search,Udaipur,Blue Pottery,2,3500,Completed,7000,5600.0,4.9,No,Traveler Success
CRB5012,2026-07-01,Ananya Reddy,u1080,Referral,Bangalore,Blue Pottery,4,1800,Completed,7200,5760.0,4.4,No,Traveler Success
CRB5013,2026-07-01,Mark Thompson,u1089,Travel Blog,Bangalore,Warli Painting,12,1800,Completed,21600,17280.0,4.1,No,Customer Success
CRB5014,2026-07-01,Mark Thompson,u1092,Instagram,Jaipur,Pottery,2,2200,Completed,4400,3520.0,4.1,No,Traveler Success
CRB5015,2026-07-01,Ananya Reddy,u1093,Direct,Bangalore,Block Printing,1,2000,Completed,2000,1600.0,4.3,Yes,Revenue / Enterprise Team
CRB5016,2026-07-01,Sofia Martinez,u1096,Referral,Jaipur,Warli Painting,12,1500,Completed,18000,14400.0,4.9,No,Customer Success
CRB5017,2026-07-01,Sofia Martinez,u1103,Referral,Bangalore,Block Printing,10,2200,Completed,22000,17600.0,4.4,No,Traveler Success
CRB5018,2026-07-01,Rahul Mehta,u1104,Instagram,Varanasi,Pottery,6,2200,Completed,13200,10560.0,5.0,No,Customer Success
CRB5019,2026-07-01,Ananya Reddy,u1105,Travel Blog,Varanasi,Weaving,2,3000,Completed,6000,4800.0,4.0,No,Customer Success
CRB5020,2026-07-01,Mark Thompson,u1106,Direct,Bangalore,Warli Painting,3,2000,Completed,6000,4800.0,4.4,Yes,Traveler Success
CRB5021,2026-07-01,Ananya Reddy,u1116,Google Search,Varanasi,Block Printing,1,2200,Completed,2200,1760.0,4.1,No,Revenue / Enterprise Team
CRB5022,2026-07-01,Rahul Mehta,u1118,Direct,Khurja,Blue Pottery,4,3500,Completed,14000,11200.0,4.8,No,Customer Success
CRB5023,2026-07-01,Sofia Martinez,u1123,Referral,Bangalore,Block Printing,12,2000,Completed,24000,19200.0,4.6,Yes,Customer Success
CRB5024,2026-07-01,Rahul Mehta,u1124,Referral,Udaipur,Weaving,10,3000,Completed,30000,24000.0,4.3,Yes,Customer Success
CRB5025,2026-07-01,Sofia Martinez,u1130,Direct,Khurja,Pottery,3,3500,Cancelled,10500,0,,Yes,Revenue / Enterprise Team
CRB5026,2026-07-01,Rahul Mehta,u1134,Travel Blog,Varanasi,Warli Painting,12,3500,Completed,42000,33600.0,4.2,No,Customer Success
CRB5027,2026-07-01,Priya Sharma,u1142,Travel Blog,Bangalore,Block Printing,4,1800,Completed,7200,5760.0,3.9,No,Traveler Success
CRB5028,2026-07-01,Ananya Reddy,u1143,Referral,Jaipur,Block Printing,10,1800,Completed,18000,14400.0,4.6,No,Traveler Success
